roi,bc,tvi,d_eff,mean_thickness
R_lateralorbitofrontal,0.0144730890999547,0.9026276476697732,7.447647094726562,2.7186083333333335
R_parsorbitalis,0.0,-1.3601012886742432,7.785328388214111,2.6700749999999998
R_frontalpole,0.0,-0.5139603354675926,5.045464277267456,2.7332416666666663
R_medialorbitofrontal,0.0018091361374943,2.6490122911640013,5.60467541217804,2.4225
R_parstriangularis,0.0004522840343735,-2.4203845114145897,5.706801414489746,2.3776
R_parsopercularis,0.0,-1.5427789163890204,5.611756324768066,2.5151499999999998
R_rostralmiddlefrontal,0.0465852555404794,0.0204203611077309,5.711764335632324,2.3380333333333336
R_superiorfrontal,0.0800542740841248,2.838820333767692,5.702564477920532,2.589
R_caudalmiddlefrontal,0.0049751243781094,-1.8535011924701217,5.078639030456543,2.441316666666667
R_precentral,0.0140208050655811,-0.2679957332383418,5.564840793609619,2.3765416666666668
R_paracentral,0.0018091361374943,-0.0760635111576872,5.326038360595703,2.335733333333333
R_rostralanteriorcingulate,0.0,-0.7159313425230209,5.33373761177063,2.6647583333333333
R_caudalanteriorcingulate,0.0009045680687471,-1.2585208191553476,5.236939907073975,2.2697999999999996
R_posteriorcingulate,0.0004522840343735,-1.7265797123932765,5.41384220123291,2.371766666666667
R_isthmuscingulate,0.0022614201718679,-1.3242694088005265,5.362570285797119,2.2904166666666668
R_postcentral,0.0049751243781094,-1.3064368224346652,5.433858633041382,1.9875333333333332
R_supramarginal,0.0076888285843509,-0.5155609826241196,6.014177560806274,2.4684916666666665
R_superiorparietal,0.0836725463591135,4.520147076845082,5.222818493843079,2.112475
R_inferiorparietal,0.0171867933061962,-0.7240808782061136,6.281544923782349,2.420725
R_precuneus,0.0452284034373586,-0.1161756203691881,5.565741539001465,2.3748416666666667
R_cuneus,0.0,0.629818611210061,5.5445826053619385,1.8386500000000001
R_pericalcarine,0.0,-1.3520331846996412,5.521347284317017,1.6254333333333333
R_lateraloccipital,0.0085933966530981,0.0896164013595767,5.978397369384766,2.21725
R_lingual,0.0081411126187245,-0.9854293573921522,5.522324442863464,2.0050166666666667
R_fusiform,0.0058796924468566,0.2237386392579927,5.505462527275085,2.844975
R_parahippocampal,0.0009045680687471,0.0997554221845468,5.361884117126465,2.647975
R_entorhinal,0.0004522840343735,0.2300020146598118,5.734663963317871,3.5245583333333332
R_temporalpole,0.0009045680687471,-1.810787764907852,5.908489942550659,3.8194999999999997
R_inferiortemporal,0.0040705563093622,-0.8039942870000754,5.467920184135437,2.861291666666667
R_middletemporal,0.0036182722749886,-0.185533050674302,5.663330674171448,2.8296916666666667
R_bankssts,0.0,-0.7257183385540683,7.218993067741394,2.523075
R_superiortemporal,0.0117593848937132,0.1643012502640896,5.916002035140991,2.6927916666666665
R_transversetemporal,0.0,-0.2920589016866982,6.8915674686431885,2.2195416666666663
R_insula,0.0574400723654455,2.2383050126431883,6.282088398933411,2.9965166666666665
L_lateralorbitofrontal,0.0135685210312075,1.945635163988589,4.784429669380188,2.7167416666666666
L_parsorbitalis,0.0,-0.5607015646402336,4.305728554725647,2.62995
L_frontalpole,0.0,-1.0777152074724494,4.931275844573975,2.734366666666667
L_medialorbitofrontal,0.0094979647218453,-1.6911311249753496,4.989739775657654,2.4620583333333332
L_parstriangularis,0.0004522840343735,-0.0005903030787647,4.374745488166809,2.362275
L_parsopercularis,0.0,-1.2620506045126598,4.566736102104187,2.512725
L_rostralmiddlefrontal,0.0533695160560832,1.38905267032063,4.999196887016296,2.390225
L_superiorfrontal,0.0836725463591135,1.353884763827619,2.603899955749512,2.6170416666666667
L_caudalmiddlefrontal,0.0031659882406151,-0.9380151606350768,4.970911145210266,2.483766666666667
L_precentral,0.0140208050655811,0.2110967301973383,4.750332236289978,2.4263583333333334
L_paracentral,0.0013568521031207,-0.661287774406222,5.051062107086182,2.2922166666666666
L_rostralanteriorcingulate,0.0,0.3730767911622897,4.892359256744385,2.7030000000000003
L_caudalanteriorcingulate,0.0,0.4340933258831397,4.637469053268433,2.3836250000000003
L_posteriorcingulate,0.0,-1.0745417187414936,4.923905372619629,2.384
L_isthmuscingulate,0.0027137042062415,-0.091180305122131,2.444687843322754,2.3078583333333333
L_postcentral,0.005427408412483,-1.801738154407516,4.620985150337219,2.0020583333333333
L_supramarginal,0.0049751243781094,0.0161487594804918,4.580461025238037,2.46325
L_superiorparietal,0.0610583446404341,2.4232511521807627,4.691553831100464,2.125233333333333
L_inferiorparietal,0.0135685210312075,0.4411142624862757,2.837972402572632,2.3731083333333336
L_precuneus,0.0384441429217548,1.0186123581049538,2.480291843414306,2.3610166666666665
L_cuneus,0.0004522840343735,-0.7536541181562293,4.824405670166016,1.791825
L_pericalcarine,0.0,-0.5705858100059887,4.957752466201782,1.5773249999999999
L_lateraloccipital,0.0153776571687019,0.0863434166816272,4.632098078727722,2.13835
L_lingual,0.0081411126187245,0.8245511643333097,2.5908920764923096,1.9866583333333334
L_fusiform,0.0099502487562189,3.5771168306663284,1.9576765298843384,2.8215500000000002
L_parahippocampal,0.0009045680687471,1.3623637630956087,1.9547898769378664,2.7786916666666666
L_entorhinal,0.0,1.0777390738322985,0.0,3.417933333333333
L_temporalpole,0.0009045680687471,1.1879306515318997,4.187379479408264,3.68325
L_inferiortemporal,0.0081411126187245,0.2335853921059113,2.7070248126983643,2.8429833333333336
L_middletemporal,0.0081411126187245,-1.978043686164844,5.053749442100525,2.8195083333333333
L_bankssts,0.0,-0.7892239974851147,4.157438397407532,2.4547749999999997
L_superiortemporal,0.0122116689280868,1.0138788325504997,2.6095290184021,2.699008333333333
L_transversetemporal,0.0,-0.628216933372054,2.6889395713806152,2.2322083333333333
L_insula,0.0479421076436001,2.1805322588456573,1.9874221086502075,2.96685
