roi,bc,tvi,d_eff,mean_thickness
R_lateralorbitofrontal,0.0144730890999547,2.1815375159496613,7.447647094726562,2.7186083333333335
R_parsorbitalis,0.0,-1.570535668735895,7.785328388214111,2.6700749999999998
R_frontalpole,0.0,-2.9908331568705515,5.045464277267456,2.7332416666666663
R_medialorbitofrontal,0.0018091361374943,-0.3143440251068833,5.60467541217804,2.4225
R_parstriangularis,0.0004522840343735,-1.9325413082977416,5.706801414489746,2.3776
R_parsopercularis,0.0,-1.155750042227081,5.611756324768066,2.5151499999999998
R_rostralmiddlefrontal,0.0465852555404794,2.355719194144014,5.711764335632324,2.3380333333333336
R_superiorfrontal,0.0800542740841248,5.599789471029267,5.702564477920532,2.589
R_caudalmiddlefrontal,0.0049751243781094,-1.088392095063345,5.078639030456543,2.441316666666667
R_precentral,0.0140208050655811,-1.5725560591464698,5.564840793609619,2.3765416666666668
R_paracentral,0.0018091361374943,-1.1233332707780086,5.326038360595703,2.335733333333333
R_rostralanteriorcingulate,0.0,-1.9303753808979145,5.33373761177063,2.6647583333333333
R_caudalanteriorcingulate,0.0009045680687471,-0.3684228548749568,5.236939907073975,2.2697999999999996
R_posteriorcingulate,0.0004522840343735,-3.278695205500696,5.41384220123291,2.371766666666667
R_isthmuscingulate,0.0022614201718679,1.9095491266550408,5.362570285797119,2.2904166666666668
R_postcentral,0.0049751243781094,-1.4937212315359505,5.433858633041382,1.9875333333333332
R_supramarginal,0.0076888285843509,-1.2116667281856133,6.014177560806274,2.4684916666666665
R_superiorparietal,0.0836725463591135,9.751241623634352,5.222818493843079,2.112475
R_inferiorparietal,0.0171867933061962,-0.7688205792249635,6.281544923782349,2.420725
R_precuneus,0.0452284034373586,2.336111136230395,5.565741539001465,2.3748416666666667
R_cuneus,0.0,-0.9691367795203264,5.5445826053619385,1.8386500000000001
R_pericalcarine,0.0,-2.938104286045029,5.521347284317017,1.6254333333333333
R_lateraloccipital,0.0085933966530981,-0.9036420344830628,5.978397369384766,2.21725
R_lingual,0.0081411126187245,-1.718227541479046,5.522324442863464,2.0050166666666667
R_fusiform,0.0058796924468566,1.4437871477689324,5.505462527275085,2.844975
R_parahippocampal,0.0009045680687471,-0.6191018492641943,5.361884117126465,2.647975
R_entorhinal,0.0004522840343735,-1.6869413981446084,5.734663963317871,3.5245583333333332
R_temporalpole,0.0009045680687471,-0.0067599585615568,5.908489942550659,3.8194999999999997
R_inferiortemporal,0.0040705563093622,0.2744459999355093,5.467920184135437,2.861291666666667
R_middletemporal,0.0036182722749886,4.276273549048482,5.663330674171448,2.8296916666666667
R_bankssts,0.0,-2.75186021893504,7.218993067741394,2.523075
R_superiortemporal,0.0117593848937132,-0.5813739546550112,5.916002035140991,2.6927916666666665
R_transversetemporal,0.0,-0.2494151163322248,6.8915674686431885,2.2195416666666667
R_insula,0.0574400723654455,5.420049132099542,6.282088398933411,2.9965166666666665
L_lateralorbitofrontal,0.0135685210312075,2.665111574730142,4.784429669380188,2.7167416666666666
L_parsorbitalis,0.0,-1.653271543998604,4.305728554725647,2.62995
L_frontalpole,0.0,-2.932775717093313,4.931275844573975,2.734366666666667
L_medialorbitofrontal,0.0094979647218453,-0.5354322945239144,4.989739775657654,2.4620583333333332
L_parstriangularis,0.0004522840343735,-0.8777058396756797,4.374745488166809,2.362275
L_parsopercularis,0.0,-0.6870652592451134,4.566736102104187,2.512725
L_rostralmiddlefrontal,0.0533695160560832,2.882768711901665,4.999196887016296,2.390225
L_superiorfrontal,0.0836725463591135,6.315461746823832,2.603899955749512,2.6170416666666667
L_caudalmiddlefrontal,0.0031659882406151,-3.847098204993336,4.970911145210266,2.483766666666667
